新能源导电碳材料技术负责人,30-50k·14薪,无锡-梁溪区,无,统招本科,1.在总经理领导下，主管公司技术工作，组织编制公司技术开发和技术发展的长远规划；2.制定并审核公司技术管理制度和技术规程标准，且根据现状适时对其进行补充和完善；3.负责组织开展技术改进费用的分析工作，制定成本降低方案，有效控制费用；4.关注行业新技术，组织制定新产品开发计划，确保技术的超前性、竞争性；5.组织指导、监督技术工程师及时妥善处理生产过程中的技术问题；6.确保公司新项目技术方面的顺利推进，协助实施技术方案的评审工作，推动项目按时完成；7.对公司的主要技术和研发成果直接领导及指挥，保证与关联单位合作顺利，使研发成果落地，不断提高技术及工艺水平；8.具有良好的团队领导能力，对部门技术人员及时进行工作指导、安排培训；9.公司全面工程技术总结工作；10、完成领导交办的其他任务。任职要求：1、化学、材料相关专业；2、10年以上相关行业工作经历，且5年以上大型公司或项目管理经验；3、熟悉新能源汽车行业标准、法规及体系流程；4、熟悉导电碳材料及其衍生产品的工艺及体系流程；5、具备优秀的团队管理能力、领导能力、专业胜任能力及忠诚度；6、有创新意识，能准确把握行业脉搏，有较强的逻辑性，语言表达能力良好，优秀的沟通协调能力。
研发工程师助理,5-7k,常州-金坛区,经验不限,本科及以上,1.    新产品研发以及相关工艺的调试；2.    主要负责电化学制备或者改性碳材料；3.    能够独立完成公司指定研发任务，独立完成研究课题的分析总结。任职要求：1.    具有电化学或有机化学或高分子化学背景；2.    具有电化学制备或者改性碳材料经验者或具有修饰或者改性碳材料经验者优先；3.    对碳材料（纳米碳材料）领域有一定认知；4.    具有良好的阅读文献（英文为主）以及总结文献能力。微信分享
负极材料研发,15-25k·14薪,常州-溧阳,3-5年,统招本科,岗位职责：1、协助上级进行负极材料（硬碳、软碳）方向的研发及中试工作；2、协助上级进行原料、半成品、成品的研发、中试生产工艺和流程探索以及检测分析；3、协助上级进行实验数据汇总、分析、整理，及时解决遇到的技术问题；4、跟进国内外本领域知识产权进展，协助进行项目申报及知识产权管理工作；5、完成领导安排的其他工作；任职要求： 本科及以上学历，材料、化工、电化学等相关专业；有1年以上大中型锂离子电池负极材料公司研发及管理经验。
研发工程师,5-7k,常州,经验不限,本科及以上,岗位职责：1.负责新产品研发以及相关工艺的调试；2.主要负责石墨烯等新型碳素材料的研究开发；3.能够独立完成公司指定研发任务，独立完成研究课题的分析总结。任职要求：1.具有电化学或高分子化学背景优先，交叉学科背景亦可；2.具有新型碳材料制备或者改性经验者优先；3.具有良好的阅读文献（英文文献）以及文献总结能力。4.对碳材料领域有一定认知，有优秀论文者优先；
技术型管培生,5-7k,常州-金坛区,1-3年,本科及以上,岗位职责：1.熟悉1-2个方向石墨烯或相关材料的行业背景知识，熟悉公司相关制度与基本管理流程；2.有能力进行相关技术岗位轮动，可以比较好的发起组织团队建设活动；3.掌握文献检索与信息搜集技巧，有比较好的沟通协作能力；4.能有意识地去收集和整理产业市场需求和资讯。岗位要求：本科及以上学历，理工科、高分子合成技术背景，良好的职业道德；具备良好的人际关系，成熟的人格，并有较强的学习能力、计划能力、组织协调能力和一定的组建团队的能力；对从事技术管理工作热爱，专业知识扎实、职业定位及规划清晰；具有一定材料（碳材料，纳米材料和其应用研究）研发经验者优先；具有PMP或项目管理经验者优先。
电池材料工程师助理,5-7k,常州-金坛区,经验不限,本科及以上,1.负责新产品研发及相关工艺调试；2.主要负责石墨烯等新型碳素材料的研究发展；3.能够独立完成公司指定的研发任务，独立完成研究课题的分析总结。任职要求：1.    具有电化学或有机化学或高分子化学背景；2.    对碳材料领域有一定认知，有有优秀论文者优先；3.    具有对新型材料制备或改性经验者优先；4.    具有良好的阅读文献（英文为主）以及总结文献能力。微信分享
技术型管培生,5-7k,常州,1-3年,本科及以上,岗位职责：1.熟悉1-2个方向石墨烯或相关材料的行业背景知识，熟悉公司相关制度与基本管理流程；2.有能力进行相关技术岗位轮动，可以比较好的发起组织团队建设活动；3.掌握文献检索与信息搜集技巧，有比较好的沟通协作能力；4.能有意识地去收集和整理产业市场需求和资讯。岗位要求：本科及以上学历，理工科背景，良好的职业道德；具备良好的人际关系，成熟的人格，并有较强的学习能力、计划能力、组织协调能力和一定的组建团队的能力；对从事技术管理工作热爱，专业知识扎实、职业定位及规划清晰；具有一定材料（碳材料，纳米材料和其应用研究）研发经验者优先；具有PMP或项目管理经验者优先。
石墨烯研发工程师,6-12k,常州-金坛区,经验不限,硕士及以上,职责描述：1.	负责新型石墨烯材料的研发；2.	负责石墨烯相关应用型产品的开发；3.	参与石墨烯新型加工改性生产线的建设；任职要求：1.	硕士及以上，有工作经验者可放宽；2.	化工、碳材料、石墨烯相关专业优先；3.	能独立掌握制备石墨烯的操作流程；4.	在石墨烯制备方面有创新成果或者是方法的研究者优先。
负极材料研发高级工程师,25-40k·17薪,常州,3-5年,硕士及以上,职位信息1. 参与电芯项目开发，根据锂离子或钠离子电芯分解的负极材料需求：克容量、压实、循环寿命和成本等，组织开展和执行材料调研和供应商技术交流、性能和制程验证和编制原材料技术标准等，对整个电芯开发过程负极材料的导入技术支持。2. 研究锂离子电池负极或钠离子电池负极材料物化指标与性能的构效关系3. 针对当前负极材料不足提出改善思路，联合供应商进行样品制备以及性能验证，定制化材料并导入电芯产品，提高电芯产品竞争力4. 主要开发方向：锂离子电池负极长寿命方向，钠离子电池负极能量密度和寿命提高 任职要求：1. 硕士及以上学历，3年以上工作经验2. 化学或材料相关专业背景3. 可以很好完成领导安排的工作4. 有人造石墨、硬碳等负极材料研发背景优先
材料工程师,15-25k,苏州,3-5年,硕士及以上,职责描述：1、仿真设计及测试分析方向；2、陶瓷基复合材料及纳米碳基超黑材料方向；3、自适应功能材料制备与集成 气凝胶制备工艺优化方向；4、高性能纤维材料，功能纤维，树脂基复合材料，特种防护材料、特种织物方向；5、特殊光学材料设计与制备方向6、电池组装工艺，模组设计及集成任职要求：1、硕士及以上学历；材料物理与器件、物理化学、材料理论模拟等相关专业；2、具有材料理论设计及模拟加工方面研发经验2年以上者优先考虑；3、优秀表达与沟通能力、良好团队协作能力。
纳米材料工程师,8-20k·13薪,常州,1-3年,本科及以上,岗位职责：1、碳纳米管材料制备及其微观结构分析；2.  碳纳米管制备工艺改进与优化；3.  碳纳米管应用技术研究，相关国际前沿技术状态跟踪。任职要求：1. 本科以上学历，材料学、化学等相关专业；2. 有纳米材料、纳米技术的工作经验；3. 具备较强的英语水平，可独立使用英语检索和收集信息，阅读翻译资料文献。
质量主管,6-8k,常州,1-3年,大专及以上,职责描述：1、完善质量检验体系，制定工作流程和表单；2、负责制定质量检验计划；3、原辅材料的入厂检验；4、生产现场过程检验；5、分析检验报告，提出改进方案；6、计量器具管理；7、质量体系以及相关管理制度文件的编写。任职要求：1、大专及以上学历；2、有机械行业工作经验；3、有2-5年质量管理相关工作经验。
电化学装置工程师/电解工程师,10-12k,常州-金坛区,3-5年,硕士及以上,岗位描述：1.进行电解装置（电解槽，电极结构和选材等）的设计、改造和搭建测试；2.完成设计图纸的绘制与对外协调定制工作；3.掌握并能解决电解或电镀等常规作业中所出现的问题；4.跟进电解行业新技术进展，包括新工艺和新装备；5.对现场一线成员进行培训，协助成员解决实验过程中电化学装置方面的技术问题。技能要求：1.具有4年以上电解或电镀等行业从业经验，有研发背景者优先；2.有电解槽，电极结构等电解装置的设计和调试经验者优先；3.熟悉电解作业过程中的安全作业规范和环保等相关要求；4.会使用autocad或solidworks等画图软件、office办公软件；5. 良好的沟通能力，学习能力。其他福利待遇：项目奖金+专利奖+***60万安家补助
盘固水泥集团有限公司-销售区域经理,8-10k,常州-金坛区,经验不限,本科及以上,1、走访区域客户，开拓销售市场，完成客户合作和销售任务2、完成业务部布署的市场调研任务，提交详细、有价值的水泥市场调研报告3、性格开朗大方，有责任心
项目监理/助理项目监理,6-10k,常州-金坛区,1-3年,硕士及以上,1、负责1~2个项目的调研，可行性判断并编制可行性研究报告和项目计划书等；2、负责小项目的立项，小型团队的组建（≤7人），项目任务分解，项目任务分配，并推动项目计划的执行、项目结题和项目成果的分配等；3、有效控制项目进度，项目质量，完成阶段性目标，进行阶段性数据整理和数据库更新；4、能同时对1-2项目的技术动态，行业信息和客户信息进行定期跟踪、分析及总结报告；                                                   5、有属于自己的产业市场需求和资讯体系，人脉关系。任职要求：1、有3年以上石墨烯或相关行业工作经验，至少有2年的项目管理相关经验；2、能够熟悉项目制的管理制度，能有效的控制项目进度和数据的记录；2、有优秀的语言组织沟通能力，团队意识强；3、硕士以上学历，有化学相关专业知识和技能优先。微信分享
盘星新金属-设备设计工程师,8-10k,常州-金坛区,经验不限,学历不限,工作内容：a) 辅助完成设备改造，生产线自动化改造等；b) 非标设备的制造跟进、安装调试等；c) 设备日常检修维护，解决生产过程中的设备问题；d) 发现、总结装配中存在的问题，并提出整改意见；e) 根据主管要求完成任务。职位要求：a) 专科及以上学历（可适当放宽），机械、自动化相关专业优先；b) 工作执行力强，态度端正，认真负责；c) 具有丰富的机械知识和经验，精通CAD、SolidWorks等制图软件。工作时间：8小时工作制工作地点：江苏省常州市金坛区福利待遇：a) 保险：五险；b) 补贴：硕士、博士可获政府人才补助；c) 食宿：人才公寓、自助工作餐；d) 晋升：每半年~一年升职加薪机会，优秀者可获在职硕/博士培养资格；e) 健康：每年定期体检，费用由公司承担（厂房洁净，无污染）；f) 其他：公费旅游、过节费、高温费、节日福利等。微信分享
盘星新金属-3D打印工程师,6-8k,常州-金坛区,经验不限,学历不限,工作内容：a) 3D打印SLM工艺开发、参数设计、产品性能改进；c) 3D打印后序工艺开发，主要包括热处理、去支撑、打磨抛光、清洗。d) 对SLM打印工艺进行优化，不断提高产品力学性能、外观等各项质量要求。职位要求：a) 本科学历（可适当放宽），机械类、材料类相关专业优先；b) 两年以上相关工作经验。工作时间：8小时工作制福利待遇：a) 保险：五险；b) 补贴：硕士、博士可获政府人才补助；c) 食宿：人才公寓、自助工作餐；d) 晋升：每半年~一年升职加薪机会；e) 其他：公费旅游、过节费、高温费、节日福利等。微信分享
盘星新金属-金属材料研发工程师,6-8k,常州-金坛区,经验不限,学历不限,a) 负责合金材料、金属粉末的开发；b) 根据合金材料、金属粉末开发计划进行成分设计、试制、测试等；c) 负责合金制备和应用工艺开发；职位要求：a) 硕士学历，理工类专业，材料专业，金属材料类优先；b) 踏实，有钻研精神，认真负责；c) 动手能力强。工作时间：8小时工作制工作地点：江苏省常州市金坛区福利待遇：a) 保险：五险；b) 补贴：硕士、博士可获政府人才补助；c) 食宿：人才公寓、自助工作餐；d) 晋升：每半年~一年升职加薪机会，优秀者可获在职硕/博士培养资格；e) 其他：公费旅游、过节费、高温费、节日福利等。微信分享
盘星新金属-区域经理,6-8k,常州-金坛区,1-3年,大专及以上,a) 了解金属粉末客户及客户需求，了解产品及负责区域市场；b) 开发新客户，维护老客户，形成稳定客源；c) 收集行业信息和客户信息，完成每月销售目标；d） 协助3d打印机销售和市场开拓；e) 根据市场总监要求完成任务。a) 本科学历（可适当放宽），机械类、材料类相关专业优先；b) 1年以上销售工作经验尤佳（有金属粉末/金属材料/3D打印销售经验者优先）；c) 有行业内（金属粉末/金属材料/3D打印）资源者优先考虑。d)有航空航天、军工单位背景者优先。微信分享
科威尔焊接（江苏）有限公司——操作工,4-7k,常州-金坛区,经验不限,学历不限,吃苦耐劳微信分享
科威尔焊接（江苏）有限公司——销售员,3-8k,常州-金坛区,1-3年,大专及以上,岗位职责：1.负责市场走访和产品推广销售工作2.负责已经合作客户的日常维护和服务工作任职要求：1.两年以上销售工作经验或应届毕业生2.性格开朗，思维敏捷，语言表述清晰3.有金属材料学专业背景优先4.能够适应长期出差微信分享
科威尔焊接（江苏）有限公司——销售管理,5-6k,常州-金坛区,1-3年,大专及以上,岗位职责：1.负责公司销售产品的后续服务跟踪事务2.负责公司客户档案管理3.负责公司线上平台推广和各类产品宣传推广工作4.负责销售部门内部日常管理工作5.负责公司销售相关各项活动的组织安排6.负责公司产品外贸推广和各项出口手续的办理工作任职要求：1.两年以上工业制造企业销售内部管理工作经验2.熟练使用办公软件3.有外贸、电商平台推广工作经验优先微信分享
中控操作员-盘固水泥集团有限公司,5-6k,常州-金坛区,经验不限,大专及以上,1、按照操作规程执行操作参数及设备的开、停机操作，确保设备正常稳定运行。2、生产过程中密切监控操作画面上各种操作参数，出现异常情况及时分析、判断并按规定程序进行处理。任职要求：1、大专以上学历，电气自动化或机械设备等相关专业优先；2、35周岁以下，身体健康，具备吃苦耐劳、好学上进的优良品质，能够适应三班制工作。微信分享
工艺工程师,5-7k,常州-金坛区,1-3年,本科及以上,独立完成现场作业指导编制；独立完成工装图纸的绘制与工装定制工作；掌握并解决生产现场的质量问题；负责新产品试制工艺的跟踪及作业指导书的完善工作；对现场一线员工进行培训。技能要求：1.具有丰富的现场问题解决经验；2.熟练使用solidworks绘画软件及办公软件；3.专业：机械机电类相关专业，精通装配工艺，有非标设备行业的装配工艺经验；4.会使用AutoCAD、Solidworks、office办公软件（电气需要eplan)；5.较强的沟通能力，学习能力。微信分享
营销策划/销售助理,4-6k,常州,1-3年,本科及以上,职位描述：1.负责公司日常工作安排；2. 公司宣传活动组织，微信公众号软文编写，企业网站管理工作；3. 完成上级安排的任务；4.销售相关文档管理及订单处理 ；5.与客户、各代理店的沟通协调等工作；6.负责公司销售合同及其他营销文件资料的管理、归类、整理、建档和保管工作。任职要求：1.本科及以上学历，有过宣传策划、淘宝业主经验优先；2.熟练运用AI、PS等平面设计工具及网页新媒体设计。3. 有一定的文字撰写功底；4. 工作认真踏实，积极主动，较好的沟通与表达能力；
营销策划,5-7k,常州-金坛区,1-3年,本科及以上,1.负责公司日常工作安排；2. 公司宣传活动组织，微信公众号软文编写，企业网站管理工作；3. 完成上级安排的任务。任职要求：1.本科及以上学历，有过宣传策划、淘宝业主经验优先；2.熟练运用AI、PS等平面设计工具及网页新媒体设计。3. 有一定的文字撰写功底；4. 工作认真踏实，积极主动，较好的沟通与表达能力；微信分享
销售工程师（X）,5-10k,常州-金坛区,经验不限,本科及以上,职责描述：1.负责石墨烯产品前期客户开发、维护工作；2.公司产品石墨烯的市场推广、销售工作。任职要求：1.本科及以上学历；2.材料、化工类专业优先；3.具备独立的产品与营销策划能力、推广能力、沟通协调能力等；4.具有市场前瞻性。福利待遇：1.经考核、面试合格录用后，起薪4500/月；2.经培训达到任职要求，正式任职后年薪5.4-12万元；3.享受国家规定的各项福利、提供食宿；4.提供工作餐、员工宿舍、定期旅游。
研发项目经理,20-40k,镇江,3-5年,硕士及以上,工作内容：1. 含导电碳材料的一些塑胶复合材料制备、配方改进及相关应用产品开发；2. 能独立进行实验设计及产品应用开发；3. 按照项目进度开展试验，并按期保质保量完成项目；4. 能够按照客户要求改进产品设计及优化性能。任职要求：1. 硕士以上学位，化学、材料、高分子等相关专业；2. 具有3年以上塑胶复合材料相关领域工作经验；3. 熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力，熟悉塑胶复合材料前沿领域进展和技术发展趋势。4. 具有材料力学分析经验；5. 需有操作挤出机及生产设备能力。6. 有碳纳米管与石墨烯加工应用者更佳；7. 热爱研发工作，具备较强的技术和工艺资料收集分析和论文写作能力； 8. 认真严谨，思路清晰，具有良好的沟通、协调、抗压力和学习能力。
产品工程师（碳纤维）,11-18k,盐城,3-5年,大专及以上,工作内容:    1.负责新产品开发立项，策划产品开发的进度和计划；    2.熟悉塑胶材料的性能及模具结构；    3.项目开发到量产的跟进及对不良品的分析，并提出改善与解决；要求:    1.大专及以上学历，材料与模具专业；    2.有两年以上塑胶件产品开发经历；    3.有碳纤材料产品开发经验者优先。    4.到职时间4月底
复合材料研发工程师,7-10k·13薪,盐城,1-3年,本科及以上,职位信息：1.TS预浸布热压成型工艺相关专业能力2.协助业务以及客户端相关成型工艺技术服务支持3.PPG基本特性以及应用4.PPG生产工艺任职需求：1.本科以上学历，化学、化工、材料等相关专业；2.熟悉预浸工艺，预浸工艺从业经验大于两年；3.有环氧树脂的预浸布生产、研发经验；4.具有预浸布制品开发经验者优先；5.对石墨烯等碳纳米材料具有一定的认识6.具备良好的职业道德，认真细致，踏实稳重，以及良好的沟通、协调和学习能力。
热处理工程师,5-6k,苏州-相城区,1-3年,大专及以上,职责描述：1．控制现场工艺的实施过程，按工艺卡片操作规程对热处理工艺进行监控与指导，并做好记录和记录的保管；2．参与生产过程进度的跟催，收集并整理全部装炉情况数据，为季报、年报提供直接的数据；3．对现场有代表性的工件进行跟踪，对结果进行整理分析，为工艺改进提供依据；4．做好热处理过程中的巡检工作，及时解决热处理生产中出现的技术问题；5．进行热处理工艺及材料的检测分析，做好对检验结果的审核，发现问题及时处理并上报6．与质检部门密切合作，推行全面品质管理，确保产品达到质量要求，协助质管部进行质量检验、分析和提高7. 在进入车间时，穿劳防鞋，有较强的安全意识，保护自身安全8．完成上级领导交待的其他工作事项。任职要求：1． 大专（含以上），金属材料专业及相关专业2． 熟悉金相分析、硬度检测；熟悉井式气体渗碳炉设备操作规程；具备材料选择、工艺设计及方案实施的能力；具备分析和解决材料热处理中出现的质量问题的能力3． 敬业爱岗，吃苦耐劳，能提出利用新知识、新技术对现行生产工艺和设备进行高效、节能节材和环保改造的技术提案熟练使用办公软件，具有良好的语言表达能力沟通能力，良好的团队合作精神，良好的英文基础
品质工程师,6-8k·13薪,盐城,一年以下,统招本科,职位信息：1.负责原材料认证审核2.负责制程过程产品检验文件定义3.负责制程不良分析及改善对策追踪4.负责供应链管理5.主管交办的其他事项。任职需求：1.有材料，产品认证经验2.有相关体系基础3.有模具经验者优先4.有SQE工作经验者优先考虑
