,标题,comment
199,Man shot dead in Hampton apartment complex parking lot,shot dead hampton apartment complex parking lot
200,Citadel Says It Will Move Offices to Miami Because of Crime in Chicago,citadel move offices miami crime chicago
201,FCPD acquires technology to solve crimes in record time,fcpd acquires technology solve crimes record time
202,"Women's help desks in local police stations in India increased registration 
of cases of gender-based violence",womens desks local police stations india increased registration genderbased violence
203,Atlanta leaders gather to talk about how to tackle escalating crime,atlanta leaders gather talk tackle escalating crime
204,NPD: Victim in Norton domestic assault dies,npd victim norton domestic assault dies
205,"Person of interest named after 19-year-old killed on Hickory St in 
Portsmouth",person named yearold killed hickory st portsmouth
206,RPD: Woman shot in Richmond motel room,rpd woman shot richmond motel
207,UPDATED: Robbery and carjacking in Ballston lead to two ...,updated robbery carjacking ballston lead
208,"Prince William County chief concerned over increasing aggravated assaults, 
violent crimes",prince william county chief concerned increasing aggravated assaults violent crimes
209,The Recent Rise in Violent Crime Is Driven by Gun Violence,rise violent crime driven gun violence
210,Full Virginia appeals court to review life sentence in Loudoun ...,virginia appeals court review life sentence loudoun
211,Percentage of positive COVID tests up to 16.6 in Virginia,percentage positive covid tests virginia
212,Grand Jury indicts Leadman in fatal 2021 ATV accident,grand jury indicts leadman fatal atv accident
213,santamonica.gov - Statement on SafeWise Safest Cities Report,santamonica gov statement safewise safest cities report
214,"D.C. mayor wants to build force to 4,000 officers",mayor build force officers
215,"Public Safety - week of July 1, 2022 | Public Safety ...",public safety week july public safety
216,Public safety index plummets as more citizens consider leaving Seattle,public safety plummets citizens leaving seattle
217,"$112,000 and more than 200 condoms: New info on arrests of 3 people for 
crimes related to human trafficking in Hampton Roads",condoms info arrests people crimes human trafficking hampton roads
218,Hampton approves budget lowering real estate tax rate,hampton approves budget lowering real estate tax rate
219,"Crime Insider: Man killed after Easter 'rolling gun battle' on I-85; 
neighbors on edge",crime insider killed easter rolling gun battle neighbors edge
220,"State report breaks down increases, drops in crime ...",report breaks increases drops crime
221,Virginia governor addresses uptick in Petersburg gun violence,virginia governor addresses uptick petersburg gun violence
222,"Crime Insider: Someone opened fire on home where George Wythe student was 
killed",crime insider fire george wythe student killed
223,Man suspected of Red Roof Inn murder surrenders over ...,suspected red roof inn murder surrenders
224,"New law could mean lighter sentences in Virginia, prosecutors say",law lighter sentences virginia prosecutors
225,Shooting death in Petersburg Saturday is city's third murder of ...,shooting death petersburg saturday citys murder
226,Safer Schools: Efforts to Improve School Climate in Virginia,safer schools efforts improve school climate virginia
227,A look at teen crime in Hampton Roads and what we can do to prevent it,teen crime hampton roads prevent
228,"'Dine-and-dash' suspects accused of ditching tab at East Coast Wings in 
Bedford County",dineanddash suspects accused ditching tab east coast wings bedford county
229,"2021 crime report shows fewer drug offenses, likely due to ...",crime report fewer drug offenses
230,"Two shot in Manassas, search underway for gunman",shot manassas search underway gunman
231,Cities Try to Turn the Tide on Police Traffic Stops,cities tide police traffic stops
232,Virginia schools look to fill over a thousand teacher vacancies,virginia schools fill teacher vacancies
233,Myths and Realities: Understanding Recent Trends in Violent ...,myths realities understanding trends violent
234,"With violent crime on the rise, Norfolk is moving forward with a ...",violent crime rise norfolk moving forward
235,Two men found dead of gunshot wounds in Woodbridge ...,dead gunshot wounds woodbridge
236,"Privacy Advocates Lambast Virginia for Ditching Police Facial Recognition 
Ban",privacy advocates lambast virginia ditching police facial recognition ban
237,Perspective | Suicide takes more military lives than combat ...,perspective suicide takes military lives combat
238,Police Say Virginia High School Student Stabbed to Death,police virginia school student stabbed death
239,"Austin brothers possibly tied to grandfather’s murder in Pennsylvania, 
grandmother already arrested",austin brothers tied grandfather murder pennsylvania grandmother arrested
240,"NYPD to deploy more night patrols Monday, one day after 8 are shot in NYC",nypd deploy night patrols monday day shot nyc
241,"Opinion | Justice reform is slow, but Fairfax County is on the ...",opinion justice reform slow fairfax county
242,"18-year-old fatally shot on King Charles Ct in Virginia Beach, police say",yearold fatally shot king charles ct virginia beach police
243,"Each fatal shooting costs D.C. more than $1.5 million, study says",fatal shooting costs study
244,"Richmond mayor releases new report, efforts to curb gun violence in city",richmond mayor releases report efforts curb gun violence city
245,DC Mayor Muriel E. Bowser's challengers criticize her public ...,dc mayor muriel bowsers challengers criticize public
246,"Virginia Beach looking to overhaul Oceanfront and Sandbridge parking fees, 
validate limited parking for locals",virginia beach overhaul oceanfront sandbridge parking fees validate limited parking locals
247,Percent positive COVID cases in Virginia over 15%,percent positive covid virginia
248,"Norfolk man sentenced to 50 years for murder of girlfriend, infant children",norfolk sentenced murder girlfriend infant children
249,Fear over recent shootings has some avoiding crowds ...,fear shootings avoiding crowds
250,Virginia slightly above average in best states to be a cop,virginia average cop
251,Arlington sees two crimes in two weeks allegedly committed ...,arlington crimes weeks allegedly committed
252,'We've got some work to do': Local officials address crime in ...,local officials address crime
253,"Police: 12-year-old girl found dead inside N Roger Peed Drive home in 
Hampton",police yearold girl dead inside roger peed drive hampton
254,Shots fired during attempted robbery near Lynnhaven Mall in Virginia Beach,shots fired attempted robbery lynnhaven mall virginia beach
255,Prince George's Co. to hold crime summit over car thefts,prince georges hold crime summit car thefts
256,"County-by-county look at COVID-19 cases in Virginia; which areas saw 
biggest spikes last week",countybycounty covid virginia biggest spikes week
257,Youngkin rolling back COVID-19 era telework for Va. state ...,youngkin rolling covid era telework va
258,What police found investigating Leesburg murder where a ...,police investigating leesburg murder
259,Richmond father needs your help to find his daughter's killer,richmond father daughters killer
260,Virginia murder suspect in custody | Local News ...,virginia murder suspect custody local news
261,Police identify 41 crime hotspots in Coimbatore using 'Koper Curve' method,police identify crime hotspots coimbatore koper curve method
262,"Politics are driving cities and localities to push for separation, to join 
new states",politics driving cities localities push separation join
263,FACT SHEET: California's Gun Safety Policies Save Lives ...,sheet californias gun safety policies save lives
264,"Glenn Youngkin proposes Virginia CBD changes, marijuana ...",glenn youngkin proposes virginia cbd marijuana
265,Police: Woman packing heat in her fanny pack robbed man in ...,police woman packing heat fanny pack robbed
266,Richmond’s Mayor responds to concerns about gun violence and homicides,richmond mayor responds concerns gun violence homicides
267,Gun thefts from unlocked vehicles on the rise in Southwest Virginia,gun thefts unlocked vehicles rise southwest virginia
268,West Virginia to continue abortions following injunction,west virginia continue abortions injunction
269,"ELECTION SPOTLIGHT: Virginia's 2nd Congressional District midterm 
candidates answer crucial policy questions",election spotlight virginias congressional district midterm candidates answer crucial policy questions
270,"Amid spike in shootings, Portland unveils new initiative",amid spike shootings portland unveils initiative
271,"Supreme Court gun ruling, Hogan open up concealed carry in ...",supreme court gun ruling hogan concealed carry
272,Black students in W.Va. suspended twice as often as their ...,black students va suspended
273,Virginia Defies Trend As Pedestrian Deaths Jump In 1st Half Of 2021,virginia defies trend pedestrian deaths jump st half
274,Reno celebrates Pride amid national political turmoil,reno celebrates pride amid national political turmoil
275,For sale: A look inside the most expensive condo for sale in ...,sale inside expensive condo sale
276,Opinion | Why progressive Democrats are losing ground,opinion progressive democrats losing ground
277,A look at the least expensive metros to buy a home,expensive metros buy
278,A look at the least expensive metros to buy a home,expensive metros buy
279,State Police Warn Berkshire County About Recent Car Break-Ins,police warn berkshire county car breakins
280,Least expensive metros to buy a home | Slideshows ...,expensive metros buy slideshows
281,A look at the least expensive metros to buy a home,expensive metros buy
282,Analysis: All you need to know about Knox County elections ...,analysis knox county elections
283,A look at the least expensive metros to buy a home,expensive metros buy
284,"On the campaign trail, many Republicans see a civil war",campaign trail republicans civil war
285,A look at the least expensive metros to buy a home,expensive metros buy
