data1,data2,title,timedate,content
101,0,你脑子再怎么蠢，“股价反映一切”这个逻辑总应该明白,耍吠帮耍出瘾来了,12-22 05:18,你脑子再怎么蠢，“股价反映一切”这个逻辑总应该明白的吧。注意吧里有鬼，太阳底下没有新鲜事
371,7,中期头部确立，再减半仓，新年后再看,今年收益翻三倍,12-22 04:42,中期头部确立，再减半仓，新年后再看
119,3,狗抗还有救吗,欢天喜地小蛋壳,12-22 00:48,狗抗还有救吗
99,1,看到这么多唱空的，我就知道这股还有希望。,纠结的名字,12-22 00:45,看到这么多唱空的，我就知道这股还有希望。
114,1,321！！！！,股友957P9f7318,12-22 00:31,321！！！！
67,0,不管别人怎么评价，坚持自己的看法,Li24,12-21 23:47,不管别人怎么评价，坚持自己的看法
196,1,趋势已经走坏了，可能狗坑黄了，连续两个跌停,股友fdghffh,12-21 22:38,趋势已经走坏了，可能狗坑黄了，连续两个跌停
97,0,那些喷9527的，麻烦加上前缀好么，，，,daddyof9527,12-21 22:20,那些喷9527的，麻烦加上前缀好么，，，
313,0,犬单抗注射lPO科创板细述！！！！华药集团新药公司参,股友957P9f7318,12-21 21:55,犬单抗注射lPO科创板细述！！！！ 华药集团新药公司参展第21届中国生物制品年会 文章来源：发布时间2021-10-25 15:23:39 华药集团新药公司参展第21届中国生物制品年会 10月14日至10月16日，第21届中国生物制品年会在南京国际博览中心隆重举行。大会云集了最具影响力的科研工作者与最具实力的生物医药创新企业， 华北制药 新药公司作为生物医药领域领军企业参加了本次盛会。 本次大会由中国疫苗行业协会、中国药学会生物药品与质量研究专业委员会、中华预防医学会生物制品分会、中华预防医学会疫苗与免疫分会、 中国医药 生物技术协会疫苗专业委员会、中国微生物学会生物制品专业委员会共同主办。来自全国各地疫苗行业的科研人士、业界专家、企业代表齐聚一堂。 会议围绕生物医药前沿技术设置主会场并开设了“狂犬病防控论坛”、“抗体药物产业化论坛”、“生物制药工程技术论坛”等14个平行分论坛，此次会议邀请了在国内生物制药领域取得突出成果并具有重要学术影响的专家学者进行学术报告交流。 华北制药 股份公司副总经理、新药公司总经理高健做了题为《抗狂犬病毒单抗研发主要科学问题探讨》的学术报告，他对中国狂犬病流行及防控现状、狂犬病致病机理及暴露后处置、狂犬病单克隆抗体研发进展等相关内容进行了现场交流。随后，高健就 华北制药 潜心研发的国家一类新药重组人源抗狂犬病毒单抗注射液的作用机理和产品优势进行了详细介绍。学术报告精彩纷呈，会议现场气氛热烈。 新药公司准备充分，在分会场现场播放企业宣传片，展示生物医药新技术与新成果，引来客商驻足新药公司展台前咨询洽谈，工作人员热情向宾客进行企业和产品推介，并积极解答客户咨询问题，不少客商慕名而来，咨询华药新产品，表达了合作愿望。（孔梦蝶宋欣）
68,0,等回踩20均线在看,股友B2Jg09,12-21 21:53,等回踩20均线在看
104,1,持6年2.235亿股的国家队三倍收益铁打。静待恭告！！！,股友957P9f7318,12-21 21:50,持6年2.235亿股的国家队三倍收益铁打。静待恭告！！！！
366,3,今年批了那么多创新中药，参乌胶囊怎么批不下来呢。李,八方兴隆地袁承志,12-21 21:44,今年批了那么多创新中药，参乌胶囊怎么批不下来呢。李林教授能量不行啊
103,0,【整天的对牛弹琴没意思，年底提前封箱了，都好自为之,哩哩啦啦9527,12-21 21:39,【整天的对牛弹琴没意思，年底提前封箱了，都好自为之吧 】
1476,16,关于大家在问的未启动的几项任务，我搜索了半天也不太,SlowFen,12-21 21:27,关于大家在问的未启动的几项任务，我搜索了半天也不太清楚…所以查了一个二类新药，同是优先审批的，也是有几项内容没启动而审批结束，不晓得一类新药有没有其他限制。（有懂这个的兄弟希望能不吝赐教，略说一二 ）
427,7,今天我出了，虽然说只有几十手，但是也特么亏我几大千,话说瓜皮,12-21 21:20,今天我出了，虽然说只有几十手，但是也特么亏我几大千，我看到有人评论，还在问注册审批哪个，我也是服了，真的能够下来，今天也不至于跌这么多，所有和他有关的板块全是红的，这个不横盘也就算了，还特么跌3个点，真的无语，再也不碰这种超级的股票，还有一个今天涨停板160多家阿，大哥，不是我埋怨阿，你那怕微涨一丢丢我也不至于这么大冤气
343,5,怎么查药品审批流程啊,好大一盆酸菜鱼,12-21 21:12,怎么查药品审批流程啊
369,9,今天大跌是怕狗抗不通过？还是怕审批又要延期？还是其,斐然富贵的钟馗,12-21 21:11,今天大跌是怕狗抗不通过？还是怕审批又要延期？还是其他未知原因？有哪位比较接近公司的大佬来说说
90,0,今天华药大跌是不是和南新制药大涨有什么关系？,实事求是789,12-21 20:49,今天华药大跌是不是和南新制药大涨有什么关系？
226,4,明天下来可以买了，就这样折磨主力，叫你不干人事。[,失败的浙江小股民,12-21 20:42,明天下来可以买了，就这样折磨主力，叫你不干人事。
95,0,没人研究CDE审批政策吗？,斐然富贵的钟馗,12-21 20:24,没人研究CDE审批政策吗？
749,22,【今天收的绝对是智-商-税】,哩哩啦啦9527,12-21 19:08,拍大腿去吧。
487,11,别听那个9527  大忽悠了，,妖孽哪里走吖,12-21 17:35,试问吧里有几个被他坑了。
370,7,今天跌的有点多呀，大师们要出不？出来发表一下呗,Li24,12-21 17:31,今天跌的有点多呀，大师们要出不？出来发表一下呗
202,2,真不错我一共买了两只，加了11个自选，今天我买的两只,清晨的猫,12-21 17:20,真不错我一共买了两只，加了11个自选，今天我买的两只都跌了，其他的全红，这两只里面就有你一个
2342,14,理论上来说，如果不出幺蛾子年底可以收到批件了。刚才,斐然富贵的钟馗,12-21 17:19,理论上来说，如果不出幺蛾子年底可以收到批件了。刚才特意查了一个其他的生物药，一个星期后离开补充资料队列，进入nmpa审批，再二个星期后可以收到批件，刚刚赶在12.31号之前
372,3,华北制药：连续3日融资净买入累计3563.49万元（12-14,华北制药资讯,12-21 17:12,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月14日融资净买入1209.67万元；融资余额6.54亿元，较前一日增加1.84% 融资方面，当日融资买入2625.24万元，融资偿还1415.57万元，融资净买入1209.67万元，连续3日净买入累计3563.49万元。融券方面，融券卖出4.9万股，融券偿还4.7万股，融券余量37.79万股，融券余额404.39万元。融资融券余额合计6.58亿元。 华北制药融资融券交易明细（12-14） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
836,11,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事,股友V0133r6612,12-21 16:16,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事难料变化太快啊。
98,1,3000多只股票涨你跌!你也是人才,股友6K300579v2,12-21 15:46,3000多只股票涨你跌!你也是人才
151,2,狗庄砸盘也砸不出啥来，没什么人卖,east_south_west,12-21 15:32,狗庄砸盘也砸不出啥来，没什么人卖
74,0,你这个,云雨风雨风风,12-21 15:24,你这个
89,0,庙小妖风大,股友81GyqA,12-21 15:13,庙小妖风大
146,1,还可以坚持10个点。。。,daddyof9527,12-21 15:12,还可以坚持10个点。。。
2972,71,9.06的成本。还有比我惨的吗？,股友tybkta,12-21 15:05,9.06的成本。还有比我惨的吗？
120,1,这庄真不要脸,红红火火108,12-21 14:42,这庄真不要脸
114,0,九安医疗是真他niang的牛叉，一个多月都6倍了,吉祥四海得小乔,12-21 14:31,九安医疗 是真他niang的牛叉，一个多月都6倍了
111,0,印度都能搞出来，华药要是爆雷的话。那真是个笑话,寻找骆驼草,12-21 14:11,印度都能搞出来，华药要是爆雷的话。那真是个笑话
94,0,妖气环绕，种来个跌停。看看有人秒你没有,恭喜纳福de段正淳,12-21 14:11,妖气环绕，种来个跌停。看看有人秒你没有
90,0,10.73收盘没悬念,理智得惊奇队长,12-21 14:09,10.73收盘没悬念
84,0,吓唬谁呢。,恭喜纳福de段正淳,12-21 14:09,吓唬谁呢。
88,0,明天破10,股友fdghffh,12-21 14:07,明天破10
75,0,浪费今天行情,念旧哦,12-21 14:07,浪费今天行情
82,0,这垃圾就是这样,股友nMCQG0,12-21 14:05,这垃圾就是这样
100,0,估计今天涨停没悬念,股友TG7tW3,12-21 14:00,估计今天涨停没悬念
133,2,这20日均线有点远啊？赶紧上来吧？,韭菜盒子煎鸡蛋,12-21 13:54,这20日均线有点远啊？赶紧上来吧？
99,1,没有最低，只有更低,股友fdghffh,12-21 13:53,没有最低，只有更低
84,0,明天跌停,VVV天意,12-21 13:53,明天跌停
92,0,还好昨天跑了,股友B2Jg09,12-21 13:43,还好昨天跑了
145,1,黑天鹅的可能性非常大,寻找骆驼草,12-21 13:42,黑天鹅的可能性非常大
126,1,10.56都止不住，还吓唬。坑多人也坏,熊市cao,12-21 13:41,10.56都止不住，还吓唬。坑多人也坏
107,0,金叉来了,专心的圣女果,12-21 13:30,金叉来了
221,5,狗抗凉凉，别再幻想了。利好等散户上车的那就是大套套,熊市cao,12-21 13:28,狗抗凉凉，别再幻想了。利好等散户上车的那就是大套套。
205,4,涨一天跌四天，很好操作啊[呲牙],股友JBWNHD,12-21 13:27,涨一天跌四天，很好操作啊
99,0,某人智商有问题，不叫评论。无脑唱多。,熊市cao,12-21 13:26,某人智商有问题，不叫评论。无脑唱多。
108,0,不信你不调整！二十日线和缺口我在等你，会顶你！,n786213411927110,12-21 12:16,不信你不调整！二十日线和缺口我在等你，会顶你！
396,7,【早盘无量下跌是阴-毛啊】,哩哩啦啦9527,12-21 11:56,【无量下跌是阴-毛啊】
97,0,会下探20日线吗,没有退路可言333,12-21 11:34,会下探20日线吗
98,0,会下探20日线吗,没有退路可言333,12-21 11:34,会下探20日线吗
114,0,转发,辰梦星宇,12-21 11:19,"转发

                                 
                                     
                                         
                                             ◆ 
                                             ◆ 
                                         
                                         
                                             
                                                     
                                                         
                                                     
                                             
                                             
                                                 
                                                         
                                                            C百诚资讯
                                                         
                                                 
                                                 发表于 2021/12/9 1:36:49 
                                             
                                         
                                         [C百诚吧]   百诚医药：公司已经进行了超过100项自主研发项目 
                                         

   来源：全景网   　　百诚医药(301096)首次公开发行股票并在创业板上市网上路演于今日在全景·路演天下举行。百诚医药副总经理兼董事会秘书尤敏卫在回答投资者提问时表示，公司已为150多家客户，提供250余项药学研究及相关一体化研发服务，产品类型涉及普通口服固体制剂、缓控释制剂、口服液体制剂、注射剂、外用制剂、吸入制剂等，目前已取得80多项仿制药药品注册受理号，已有46项仿制药取得药品注册批件或通过一致性评价。 　　此外，公司逐步加大自主研发力度，自主筛选项目进行立项研发，在取得一定研发成果后，后期将自主研发技术成果进行转让。截至目前公司已经进行了超过100项自主研发项目，并实现了多个项目研发成果技术转化。 创新药研发方面，在研的创新药项目共5项，其中一个项目正在IND申报获得CDE受理，一个项目完成候选药物的确立；三个项目处于先导化合物优化至候选药物阶段。前述研发成果的应用，有力推动了公司的业绩增长。 （文章来源：全景网）  [点击查看原文]"
140,0,这种走势，基本可以一个月再来看了,股友82o6060P15,12-21 11:07,赶紧去路边摆个碗乞讨点钱，准备过年吧。
423,9,看着走势，药退回了，补充临床资料[滴汗][滴汗],股友77992ez163,12-21 11:03,看着走势，药退回了，补充临床资料
117,0,没有主力，只有苦力。[憨笑],股友fUUO7m,12-21 10:57,没有主力，只有苦力。
202,2,这是卖的什么药[滴汗],念旧哦,12-21 10:30,这是卖的什么药
125,0,托们，牛逼吹爆了,红红火火108,12-21 10:24,托们，牛逼吹爆了
646,11,明天会上涨的，收盘应该在11.40以上，拭目以待吧。最,股友V0133r6612,12-21 10:23,明天会上涨的，收盘应该在11.40以上，拭目以待吧。最有可能是明天先下探10.90然后震荡上行，估计能冲高11.70左右。
115,0,先撤了吧,股友77992ez163,12-21 10:18,先撤了吧
225,3,还以为你会强势呢，没想到还是按套路来，先出绿柱释放,股友V0133r6612,12-21 10:07,还以为你会强势呢，没想到还是按套路来，先出绿柱释放压力。
144,0,我买了金融街华侨城保利发展。我猜对了板块没猜对股票,八方兴隆地袁承志,12-21 09:49,我买了 金融街 华侨城 保利发展 。我猜对了板块没猜对股票，涨的都是垃圾地产股。
116,0,狗玩意的跌停吧,云雨风雨风风,12-21 09:34,狗玩意的跌停吧
175,1,还是那句话，好股你买不到，买到都是坑,股友B2Jg09,12-21 09:34,还是那句话，好股你买不到，买到都是坑
124,0,破11了吧。,股友V0133r6612,12-21 09:33,破11了吧。
833,22,【今天收的绝对是智-商-税】,哩哩啦啦9527,12-22 14:47,拍大腿去吧。
15,0,没有人会因为有一万手买单就买吧。,八方兴隆地袁承志,12-22 14:46,没有人会因为有一万手买单就买吧。
17518,578,现在是一个点都要卖了….[笑哭][笑哭]哩哩啦啦兄弟10,SlowFen,12-22 14:46,现在是一个点都要卖了….  哩哩啦啦兄弟 10块钱能把我的收了不
107,2,是不是要出公告了,红红火火108,12-22 14:43,是不是要出公告了
412,1,华北制药集团环境保护研究所王勇军出席中国国际工业废,爱环保的呦呦,12-22 14:42,
516,12,别听那个9527  大忽悠了，,妖孽哪里走吖,12-22 14:40,试问吧里有几个被他坑了。
411,4,华北制药：连续4日融资净买入累计4655.11万元（12-15,华北制药资讯,12-22 14:34,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月15日融资净买入1091.62万元；融资余额6.65亿元，较前一日增加1.67% 融资方面，当日融资买入4250.32万元，融资偿还3158.7万元，融资净买入1091.62万元，连续4日净买入累计4655.11万元。融券方面，融券卖出4.79万股，融券偿还5.2万股，融券余量37.38万股，融券余额414.58万元。融资融券余额合计6.69亿元。 华北制药融资融券交易明细（12-15） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
86,1,万手哥托单，让各位散户朋友放心大胆抄底?呵呵,今年收益翻三倍,12-22 14:06,万手哥托单，让各位散户朋友放心大胆抄底?呵呵
3004,71,9.06的成本。还有比我惨的吗？,股友tybkta,12-22 13:58,9.06的成本。还有比我惨的吗？
485,11,今天跌的有点多呀，大师们要出不？出来发表一下呗,Li24,12-22 13:54,今天跌的有点多呀，大师们要出不？出来发表一下呗
114,2,下午表演跳水，11块万手托单必破,股友vd8FtX,12-22 13:42,下午表演跳水，11块万手托单必破
80,1,，一分钟的涨，N次的跌,云雨风雨风风,12-22 13:10,，一分钟的涨，N次的跌
479,4,韩跃伟介绍了华润医药集团的产业发展情况，认为与华北,扎扎实实平地起,12-22 13:08,韩跃伟介绍了华润医药集团的产业发展情况，认为与 华北制药 集团存在很多互补之处。他表达了在河北省投资合作的良好愿望，希望双方进一步接洽商讨，加大产业协同，推进合作共赢，助力河北医药行业做强做大，为河北经济发展做出更大贡献。一同参与会谈的还有华润河北医药有限公司总经理谷勇军
247,4,我国第一个抗感染单抗！！！！！,股友957P9f7318,12-22 13:07,我国第一个抗感染单抗！！！！！
430,15,告诉你规律，今天macd出绿，理论上应出现比昨天还要低,大发四海得泰坦,12-22 13:03,告诉你规律，今天macd出绿，理论上应出现比昨天还要低的价格，现在已经完成了，然后高度绝对不会超过昨天最高或开盘价。结论，今天就是在昨天阴线内运行，明天可能继续调整
59,0,下午开盘直接拉停,tzshangya108,12-22 13:01,下午开盘直接拉停
113,2,盘久必跌,股友fdghffh,12-22 12:56,盘久必跌
73,0,昨天破位跑路，今天就涨,股友B2Jg09,12-22 12:41,昨天破位跑路，今天就涨
151,3,回踩五周线，决战在下本周吗,对韭当割lqt,12-22 12:39,回踩五周线，决战在下本周吗
476,7,（迅可，奥木替韦单抗注射液）闪耀登场！！！集华北制,扎扎实实平地起,12-22 12:27,（迅可，奥木替韦单抗注射液）闪耀登场！！！ 集华北制药研发中心，生物制药及新生物药生产中心组成的新药公司在研产品1个创新药重组人源抗狂犬病毒单抗注射液（迅可，奥木替韦单抗注射液）完成临床III期报产待批（过会生产批文），1个创新药处于临床Ⅰ/Ⅱ期、2个单抗产品临床I期、10余个产品处于临床前研究；并有多个新品处于立项阶段。其中，迅可是我国第一个报产的抗感染单抗，2020年被国家药品审评中心纳入优先审评品种，现已顺利完成现场核查，未来将替代人免疫球蛋白，被业界誉为“开启狂犬病被动免疫的新时代”，成为华北制药创新转型的重要支撑。
149,3,11.2进来的，还有活路不？,疯牛快涨,12-22 12:20,11.2进来的，还有活路不？
397,1,犬单抗注射lPO科创板细述！！！！华药集团新药公司参,股友957P9f7318,12-22 12:15,犬单抗注射lPO科创板细述！！！！ 华药集团新药公司参展第21届中国生物制品年会 文章来源：发布时间2021-10-25 15:23:39 华药集团新药公司参展第21届中国生物制品年会 10月14日至10月16日，第21届中国生物制品年会在南京国际博览中心隆重举行。大会云集了最具影响力的科研工作者与最具实力的生物医药创新企业， 华北制药 新药公司作为生物医药领域领军企业参加了本次盛会。 本次大会由中国疫苗行业协会、中国药学会生物药品与质量研究专业委员会、中华预防医学会生物制品分会、中华预防医学会疫苗与免疫分会、 中国医药 生物技术协会疫苗专业委员会、中国微生物学会生物制品专业委员会共同主办。来自全国各地疫苗行业的科研人士、业界专家、企业代表齐聚一堂。 会议围绕生物医药前沿技术设置主会场并开设了“狂犬病防控论坛”、“抗体药物产业化论坛”、“生物制药工程技术论坛”等14个平行分论坛，此次会议邀请了在国内生物制药领域取得突出成果并具有重要学术影响的专家学者进行学术报告交流。 华北制药 股份公司副总经理、新药公司总经理高健做了题为《抗狂犬病毒单抗研发主要科学问题探讨》的学术报告，他对中国狂犬病流行及防控现状、狂犬病致病机理及暴露后处置、狂犬病单克隆抗体研发进展等相关内容进行了现场交流。随后，高健就 华北制药 潜心研发的国家一类新药重组人源抗狂犬病毒单抗注射液的作用机理和产品优势进行了详细介绍。学术报告精彩纷呈，会议现场气氛热烈。 新药公司准备充分，在分会场现场播放企业宣传片，展示生物医药新技术与新成果，引来客商驻足新药公司展台前咨询洽谈，工作人员热情向宾客进行企业和产品推介，并积极解答客户咨询问题，不少客商慕名而来，咨询华药新产品，表达了合作愿望。（孔梦蝶宋欣）
1209,12,【看来南地块土地款敲定！地产项目开工】,哩哩啦啦9527,12-22 12:01,【看来南地块土地款敲定！地产项目开工】
84,1,搞什么飞机11块钱卖了，想等下来做个T……你赶紧立刻,小小李plus,12-22 11:54,搞什么飞机 11块钱卖了，想等下来做个T……你赶紧立刻给我下来
500,9,润医药重组华北制药-视野知识研究院华润医药重组华北,扎扎实实平地起,12-22 11:52,"润医药重组 华北制药 - 视野知识研究院 华润医药重组 华北制药 华润医药集团有限公司的发展战略 以品牌中药、医药分销、品牌化学普药为核心业务,通过并购重组、业务整合、市场拓展、管理提"
84,1,唱空的傻小子出来走两步,纯朴的及时雨,12-22 11:36,唱空的傻小子出来走两步
64,0,能涨停我就进来，站岗我也愿意，兄弟们我掩护你们撤退,东邪12345,12-22 11:35,能涨停我就进来，站岗我也愿意，兄弟们我掩护你们撤退。
71,0,新一轮拉升又要？,龙婆瑞,12-22 11:34,新一轮拉升又要？
58,0,能涨停，我就出啦,a蓝天白云a,12-22 11:28,能涨停，我就出啦
107,1,有可能是洗盘吸筹，只是猜测,红红火火108,12-22 11:25,有可能是洗盘吸筹，只是猜测
109,1,融资余额多少？,股友J2nknW8504,12-22 11:03,融资余额多少？
114,1,没有狗抗 这股也就10块左右的样子，低也低不成啥样？,妖孽哪里走吖,12-22 10:57,10.5 进5成仓
72,0,亏,寻找骆驼草,12-22 10:49,亏
162,0,华北制药12月22日快速上涨,华北制药资讯,12-22 10:03,来源：东方财富Choice数据   以下是华北制药在北京时间12月22日10:03分盘口异动快照： 12月22日，华北制药盘中快速上涨，5分钟内涨幅超过2%，截至10点03分，报11.02元，成交4806.47万元，换手率0.27%。 分笔 10:03:33 11.02 475↑ 10:03:30 11.01 1105↑ 10:03:27 11.00 632↑ 10:03:24 10.98 282↑ 10:03:21 10.97 240↑ 10:03:18 10.95 27↓ 10:03:15 10.95 269↑ 10:03:12 10.94 532↓ 10:03:09 10.95 114↑ 10:03:06 10.95 106↑ 报价 卖五 11.06 26 卖四 11.05 175 卖三 11.04 50 卖二 11.03 24 卖一 11.02 83 买一 11 339 买二 10.99 144 买三 10.98 271 买四 10.97 101 买五 10.96 260 最新： 11.02 涨幅： 2.80% 涨跌： 0.3 换手率：0.27% 成交量：4.44万手 成交额：4806.47万元 主力净流入： -31.77万 元   12月22日，华北制药盘中快速上涨，5分钟内涨幅超过2%，截至10点03分，报11.02元，成交4806.47万元，换手率0.27%。 注：以上信息仅供参考，不对您构成任何投资建议。 （文章来源：东方财富Choice数据）  [点击查看原文]
254,3,趋势已经走坏了，可能狗坑黄了，连续两个跌停,股友fdghffh,12-22 10:01,趋势已经走坏了，可能狗坑黄了，连续两个跌停
135,1,，10块多就总是过不去了，来来回回,east_south_west,12-22 09:26,，10块多就总是过不去了，来来回回
302,6,我目前持有华北150万股，今明两天伺机而动。,耍吠帮耍出瘾来了,12-22 08:55,我目前持有华北150万股，今明两天伺机而动。
2667,60,不以物喜不以己悲,分子砌块,12-22 08:26,华药主力此时的态度吧，这就是个性！
