platform,category,course_name,course_id,total_stu,course_info,teacher_name,teacher_id,rating,source,price
keqq,,SQLServer数据库基础教程,285479,878,,,,4.9,雷伟（宜昌魔豆IT教育）,
keqq,,mysql零基础数据库,301585,564,,,,5.0,王希强,
keqq,,LUA游戏脚本开发,316583,169,,,,,昆山爱达人信息技术有限公司,
keqq,,Lua程序设计之高手进阶,338959,63,,,,,袁峰云,
keqq,,北邮在线高端专业网络优化课程，每期爆满,324032,8,,,,,北邮在线,
mooc163,PPT,[总结模板]工作型PPT应该这样做,1003745014,25721,【售前咨询，买课后加学员群下载资料】关注微信公众号“秋叶PPT”（PPT100），回复关键词【人工客服】就有人工客服接待哦~秋叶PPT团队2017年度黑马爆款课程，不到一年畅销超万人！！！本课程专注于提升职场人的办公效率，500强企业内训师带你解决与工作场景相关的各种PPT疑难杂症！【视频讲解】+【图文解析】+【配套习题】+【老师答疑】，四位一体，系统提升你的职场竞争力！课程不限时间，不限次数，一次购买，永久有效，课程前两章为免费试看章节。以下是更详细的课程图文介绍：,秋叶等,,5.0,,￥249.0
mooc163,PPT,【一课搞定】秋叶Office三合一,1005105013,10428,【课程介绍】·1课贯通Word、Excel、PPT三大技能；·精选办公实战案例，场景化教学，无缝衔接办公应用；·3大模块，34章，520课时，Office核心知识点全；·新手必学+高手必会+疑难速查+学员群答疑，满足你的学习需求；·完整的知识地图，提供给你学习攻略，科学安排学习路径，分级教学，让高手之路更加轻松，助你成为Office三剑客,秋叶等,,5.0,,￥399.0
mooc163,PPT,520节Excel+PPT+Word小白变高手,1106004,5793,【500元汲取李则见老师15年研学成果】1-【课程永久！最高性价比】：一节不足1元钱！520节+视频课程，实实在在，循序渐进，深入浅出，由浅入深。课程总时长7500+分钟！李则见亲自答疑解惑，长期辅导陪您成长。本课绝非复杂难懂或琐碎问题点的华而不实的凑数网课，而是系统全面提升您OFFICE实战技能的超值课。【提醒】：本课不适合Mac版office。2-全网视频节数最多内容最实战的性价比最高的Office精品课程，几无之一，超很多网课节数2-3倍以上，甚至10到20倍】3-买网课一定务必好好比较性价比。【近1000个案例文件下载！】本课每节视频长度平均15分钟。再送从6000套素材库里精挑细选的211套精品PPT模板，想要其他素材，老师尽力为您提供资源。4-您承诺坚持学，我包您是高手！微信QQ群长期陪伴。Office技能飞速提升只此一套就够，小白半年变身高手达人，获得几十倍甚至数百倍千倍的回报！5-与视频同步的所有案例，在每个视频左下方#参考资料#里，点开下载。6-老师讲解使用的软件大都是【Office2016或2013】。7-点开视频，视频右下角选择【超清】并放大，非常清晰8-电脑上登陆您的账户收看，请用搜狗或360或谷歌浏览器！微软IE加载不了视频插件。手机、IPAD下载APP收看。,Office软件职业讲师李则见,,5.0,,￥1598.0
mooc163,Excel,跟王佩丰学Excel视频教程：Excel实战1800分钟,670032,417866,1800分钟巨制Excel视频教程：认识Excel、Excel企业应用、Excel常用功能、Excel表格设计、Excel美化、Excel数据透视表、Excel函数、Excel图表、Excel动态图表。本套课程案例全部采集自真实企业环境中的应用。并您系统的规划好了每次课程的学习时间共24讲#每集视频均在60-90分钟之间，拒绝零散教程#，适合以每天一集的进度系统学习Excel应用。,ExcelPPT王佩丰,,5.0,,免费
mooc163,Excel,全民一起VBA基础篇(Excel数据处理),1003088001,63754,***《提高篇》已经全部发布，风格保持不变、讲解更多技巧！请在云课堂搜索试听***制作精细、自带吐槽，史上最吸引人的VBA视频课程，没有之一！很多人都知道，VBA是提高Excel工作效率的不二利器。但是大家一想到“程式设计”四个字，就不由得对VBA望而却步。没关系，关注“全民一起VBA”系列课程(www.yycollege.com)，你就会发现，原来VBA如此易学、如此实用！只要是经常使用Excel的人士，均可通过本课程轻松掌握VBA。本门课程为“全民一起VBA”系列的基础篇，完全从实用出发，教学风格清晰简洁、幽默深刻。而其画面/动画制作更是耗费了大量的人力财力，绝非其他课程中简单的屏幕录制！全部视频共计5小时左右，目前完全免费公开，以期让更多的朋友了解/掌握VBA技术！本课程学习之后将会使您掌握VBA一般语法，理解Excel对象体系，并且能够完成多表格数据汇总/多工作簿数据汇总/自定义函数/一般文本处理/表格格式处理等日常办公需求，并具备深入学习高级VBA技术的能力。为了促进大家交流和实践，我们专门架设了官方答疑论坛forum.yycollege.com，杨老师也将随时在线解答同学们的各种问题。同时欢迎关注微信公众号yy_college（杨氏在线教学），获得课程实时信息！,杨洋老师,,5.0,,免费
