视频标题,创建时间,视频编号,视频时长,播放量,视频弹幕,视频评论
王老菊教你拆人致富 | 哪里不会拆哪里,1570031384,BV1xE411Q79C,86:52,1225830,15923,2051
王老菊教你分身潜行（莽）,1569767862,BV1mE411R74V,45:05,848764,5566,1344
"真正的粉丝【BML2019单品】",1569639613,BV1EJ411M7RX,20:49,808038,14854,2350
王老菊教你硬核传道01,1568966139,BV18J41137ZF,61:18,1465696,13474,2488
王老菊教你鸡儿战神,1568373312,BV1yJ411P7xx,44:25,1026308,12202,2072
【王老菊】我把自己家炸了,1567251049,BV1U441127FE,48:38,1299605,8719,2863
【王老菊】小鸡冲鸭！（保健版）,1566854057,BV1d441167bd,60:35,989847,7356,1489
王老菊教你当咬人勇者,1566644748,BV1q4411r7jU,29:37,876230,6032,1745
王老菊教你雨中剑圣,1566329776,BV1L4411d7LY,49:46,1230177,12378,2272
【王老菊】火柴人大冒险,1566136146,BV1V4411o7gp,61:01,1126787,14560,2688
王老菊教你当肌智猛男,1565870438,BV1e4411U77A,34:05,751980,4083,1542
【王老菊】亿万炮塔,1565541285,BV1f4411D7UV,35:10,1328634,11365,3397
【王老菊】奴隶阿飞的励志人生11,1564958797,BV1Ht411M75h,67:16,2799470,72008,12794
王老菊教你当将军砍王,1564816382,BV11t411u7c2,43:52,835776,11730,2652
【王老菊】奴隶阿飞的励志人生10,1564422219,BV1ft411F7ru,53:35,2173428,39715,7761
未来科技开发日记#1,1564157913,BV1ft411A74o,15:37,891027,13326,4659
【王老菊】奴隶阿飞的励志人生09,1563921980,BV1Mt411E76A,56:15,2606774,45898,8192
王老菊教你削削削削削削,1563696714,BV1kt411E7Hu,55:39,912028,16267,4701
【王老菊】奴隶阿飞的励志人生08,1563359980,BV1bt411g7Vb,64:41,2826441,57419,10982
王老菊和免免的聪明厨房,1563192035,BV19t41137P7,33:36,856802,9665,3241
【王老菊】奴隶阿飞的励志人生07,1563052430,BV1it411V7rc,57:19,2532845,47401,10306
【王老菊】奴隶阿飞的励志人生06,1562821876,BV1zx411f7We,55:40,2717467,62741,8715
【王老菊】奴隶阿飞的励志人生05,1562476206,BV1L4411w7iy,53:58,2807231,52129,9426
【王老菊】这个游戏太异常了,1562393327,BV1B4411c7Dz,45:02,847477,9337,2913
【王老菊】奴隶阿飞的励志人生04,1562247924,BV144411A7jn,44:50,2867609,38642,5386
【王老菊】奴隶阿飞的励志人生03,1562022044,BV18x411X7Bc,57:48,3163093,42090,4653
【王老菊】奴隶阿飞的励志人生02,1561759293,BV1tx41197uC,62:22,3551252,44852,5045
【王老菊】奴隶阿飞的励志人生01,1561576631,BV1ux411d746,63:20,5385077,68530,8603
王老菊教你乱转猛男,1561206102,BV1a4411u7He,52:15,581778,4944,1913
王老菊教你战锤猛男,1561005866,BV1o4411g7Jp,49:38,1187465,8193,2289
王老菊带你和前职业选手一起疯狂操作（E3vlog）,1560912410,BV194411G7Mh,18:25,511787,4839,1136
王老菊教你建岛收税,1560021881,BV1e4411T7i5,36:13,1070173,7938,1912
【王老菊】巨爽的刷子独立游戏,1558699493,BV1S4411L7Hd,38:58,1492092,6919,1915
王老菊教你叮叮当种菜03：光速有钱,1558293097,BV1J4411j7k3,63:37,827444,6995,1585
王老菊教你叮叮当种菜02：海岛归来,1558119946,BV1z441177VS,43:03,824360,9669,1864
王老菊教你叮叮当种菜01：不知道有没有下一集,1557337620,BV1B4411v7Vu,50:58,1374128,10893,3624
王老菊教你大禹（ju）治水,1556554053,BV1r4411477B,54:38,1140604,8447,2423
王老菊只狼10：抱得美人归,1556125336,BV1B441187Z2,69:05,939310,16090,2144
王老菊只狼09：红鲤鱼绿铝驴,1555785656,BV1Cb411V7Vv,78:07,764417,14645,1733
王老菊只狼08：父死子笑斩,1555511302,BV1bb41157hi,69:40,861250,15597,1980
王老菊只狼07：父慈子孝斩,1555255720,BV1zb411L7FM,71:58,886390,20950,2388
王老菊只狼06：化学正义,1554678203,BV16b411u7D4,74:48,1052197,17007,2578
王老菊只狼05：猴猴猴猴狼猴猴猴猴,1554287970,BV1Lb411W73G,78:07,1014520,18341,2739
王老菊只狼04：古寺寻妻记,1554060075,BV12b411s7KH,82:23,1030173,26617,2634
王老菊教你地牢逆袭|发家致富全靠贪,1553860818,BV1Xb411x7Cs,30:18,585459,2386,1304
王老菊只狼03：落命城管,1553717008,BV13b411x7Qf,79:04,1304595,20883,2804
王老菊只狼02：猛男五连boss战,1553455782,BV1ab41147d3,85:03,1818630,27375,3708
王老菊只狼01：生日礼物,1553274959,BV17b41177cB,90:12,2381780,45374,5063
【王老菊】温故知新，惨死高墙 | 真正的黑暗之魂3,1552992703,BV1qb411E7FW,63:48,1273041,19403,3519
王老菊的乡村爱情故事05：衣冠楚楚,1552628464,BV1zb411H7AH,59:50,762839,10247,2718
【王老菊】我的回合，叠甲！,1550909765,BV1db411h7hv,74:43,974678,7070,3299
王老菊教你翻滚撒雷,1550653521,BV1Eb411Y7RM,58:47,704012,5705,2255
王老菊的乡村爱情故事04：波西亚情圣,1550523726,BV1Qb411176Y,71:59,863050,14169,2624
王老菊教你拯救人质,1550174942,BV1tb41127Fm,46:52,1449090,11383,2729
王老菊的乡村爱情故事03：舔狗最终应有尽有,1548834671,BV13b411y7mR,74:11,951776,18249,3432
王老菊带你玩双生猛萝,1548756458,BV19b411C7dk,22:53,520780,3788,1884
王老菊的乡村爱情故事02：小镇镐王,1548181041,BV11t411t71V,58:44,965892,12006,3036
王老菊教你修仙03：工具人金丹直指,1547827095,BV1jt411a7QN,57:54,1203269,15366,3781
王老菊的乡村爱情故事01：波茜娅的春天,1547560234,BV1Rt411H7m8,61:57,1307594,17776,3466
王老菊教你修仙02：洞天福地人间仙境,1547342420,BV1kt411W7c5,56:06,1343058,15491,4520
王老菊教你修仙01：未来科技沃土千里,1547207084,BV1Ft411W7Wp,63:44,2510293,34877,8360
王老菊教你花式泡澡,1546779920,BV1Wt41147ZX,24:03,442224,4799,1783
王老菊的自由抗争路,1546618517,BV1Yt411x7tR,58:16,1029739,12540,3103
王老菊教你伐木朋克,1546012058,BV11t411r7Js,29:48,760818,4966,1716
【王老菊】小鸡冲鸭！！！！,1545284415,BV1rt411i7VS,55:20,1407872,8686,2427
【王老菊】一带大侠成长记！,1544961277,BV1Wt411e7ZS,30:41,894779,7114,2212
王老菊教你翘课公主（上下两集）,1544779882,BV1ft411v7x5,102:14,830026,15010,1768
王老菊教你守卫村庄 | 羊村末日保卫战,1544180098,BV1bt411S787,68:15,1001635,14010,1941
【王老菊】炉石传说 拉斯塔哈大乱斗 抢先试玩 | 猛虎骑天下第一！,1543730447,BV1mt411X7bS,38:38,558245,7662,1692
王老菊教你守卫村庄 | 羊背上的国家,1543122623,BV1Zt411X7oh,34:49,1100105,8823,2170
王老菊教你守卫村庄 | 站得高射得远,1542788806,BV1zt411C7gi,62:04,1292404,13948,2243
【王老菊】女校高中生被殴打背后的真相（共5P）,1542631414,BV1vt41117tT,266:52,1414952,26511,4785
王老菊教你当女装兔子,1542283226,BV1tt411279h,22:16,585831,2456,1043
老菊家的幸福食光Vol.03：花雕怪味鱼,1540460758,BV1et411d7ZD,10:15,1002193,15403,4093
王老菊教你当断剑奇侠08-替身战士太吾蝉,1539356799,BV1Mb411F7PY,66:43,1686004,30485,7277
王老菊教你当断剑奇侠07-二世觉醒,1539032165,BV13W41117Lb,45:32,1540395,20026,4774
王老菊教你当断剑奇侠06-响当当之死,1538816389,BV1oW411275Y,58:31,1826087,28500,4428
王老菊教你当断剑奇侠05-太吾修罗村,1538557245,BV1sW411U7XV,60:21,1684372,23973,3495
王老菊教你怎么当爹（儿子）,1538394833,BV1BW411m7cf,69:33,1517793,25634,3718
王老菊教你抓妖,1538308841,BV1FW411S7p9,35:58,307757,2375,1021
王老菊教你当断剑奇侠04-你女儿，我养之！,1538224451,BV1eW411S7VW,47:42,1765267,18124,3621
王老菊教你当断剑奇侠03-地北天南故人去,1537957763,BV1qW411U7HU,44:40,1557866,14961,3127
王老菊教你当断剑奇侠02-得罪了方丈还想跑？,1537766488,BV1BW411z77S,52:36,2012863,20439,3272
王老菊教你当断剑奇侠01-太污村奇女子,1537589945,BV18W411r78F,97:37,3970794,56612,6749
王老菊带你墓场物语06：大科学家,1536267269,BV1tW411d7BS,68:37,689589,6647,3846
王老菊带你墓场物语05：工作使我快乐,1535818623,BV13s411F7NX,58:24,686636,5602,2351
王老菊教你打网球,1535774417,BV14W411f7NR,15:48,427892,4188,1468
王老菊带你墓场物语04：深邃黑暗,1535490708,BV13s411c7zj,54:01,646516,6848,2552
王老菊带你墓场物语03：拔萝卜,1535056224,BV1oW411S7P6,48:46,647888,6922,3025
王老菊带你墓场物语02：主角的力量,1534711891,BV1WW41197A7,61:23,838724,10618,3432
王老菊带你墓场物语01：穿越之我是扫墓人,1534497476,BV1gW411d7Ms,70:38,1716515,17785,4233
王老菊带你梦幻战棋,1534248049,BV1Vs411M7zQ,21:33,450256,3539,1778
【王老菊】新警察故事02：肥影忍者,1533899764,BV1Ts411u79k,56:05,605276,7745,3238
【王老菊】新警察故事01：博丽博丽干杯,1533637432,BV18s411g7Gd,83:20,1256534,20839,4108
王老菊教你当方块大师,1533403748,BV1Ls411G7J5,38:46,624326,7090,1841
王老菊教你海滨夏日play,1532692847,BV1Ws411A7et,30:41,363769,2229,1110
王老菊带你畅游侏罗纪04：有钱使恐龙快乐,1531920355,BV1ss411E7QE,45:22,783081,16229,3208
王老菊带你顺火暖,1531627223,BV1is411J7hg,30:49,504055,14995,2742
王老菊带你畅游侏罗纪03：侏罗纪鼻王,1531396001,BV1zs411H75H,31:21,731486,9541,2192
王老菊带你畅游侏罗纪02：鱼唇的人类,1529662030,BV1ns41177XD,45:58,993232,12740,3359
王老菊带你畅游侏罗纪01：开业大吉，安全美丽！,1529077797,BV1rW411F7os,55:04,1544012,21219,3174
王老菊教你硬核黑白02：灰心哥再见,1528804326,BV1xW411w7uV,57:31,323773,3250,726
王老菊教你影之诗,1528200009,BV1iW411N7VF,53:46,373568,4804,2088
王老菊教你硬核黑白01：不死人都是不能跳的,1528195601,BV1xW411A7wm,46:00,728777,6934,1474
王老菊教你巫师传奇,1527008286,BV1Yp411o7zZ,64:26,813593,9896,2368
王老菊教你《未来风暴》,1526043509,BV1gW411F76g,31:47,550785,3709,1435
王老菊教你冰原求生05：新黎明,1525798349,BV11p411f7MD,65:26,1089561,21943,7813
王老菊教你冰原求生04：以董事长为核心的大工厂,1525695527,BV1Ep411f7N5,62:20,876160,11278,1950
王老菊教你冰原求生03：救救孩子们,1525260697,BV16W4113729,70:03,1039605,14350,2509
这不到一百分钟全是新 角 色,1524992097,BV1pW411V7b6,55:51,672347,5953,1466
王老菊教你冰原求生02：不满就憋着,1524907483,BV1JW411V7KC,52:21,1069037,11987,1956
王老菊教你当牧娘人,1524826346,BV1MW411V7CM,26:38,348784,2375,1462
王老菊教你冰原求生01：希望之火在风雪中点亮,1524734927,BV1yW411G7JR,45:19,2015879,17629,3446
【王老菊】和散人不那么刺激吃鸡,1523793902,BV1QW411L7Vb,26:12,455168,2376,950
王老菊教你刷怪致富,1523535045,BV1TW411T7vM,35:00,842795,7468,2889
王老菊教你修电脑,1522758084,BV11W411T7Ky,43:52,1069696,12275,2404
王老菊教你射暴战境,1522497601,BV1hW411u7tQ,34:18,459373,2845,1233
王老菊教你贱民成长记,1522407546,BV18W411u7Cf,60:09,835649,7045,1747
王老菊教你生死角斗,1521024596,BV1MW411p7R7,49:10,642598,7959,1670
王老菊和免免教你打枪,1521015758,BV1MW411p7Ah,37:21,274728,1439,1215
【王老菊】彩虹六号隐藏模式,1520937764,BV1ZW411H7Pm,24:09,595457,2935,3307
王老菊教你砍爆地牢,1519989581,BV1cW411x784,57:31,689233,9709,1893
【王老菊】在情人节感受另外一种爱,1518530525,BV1iW411E7o7,99:33,557764,10524,3311
王老菊教你养妹打怪,1518433622,BV18W411E7zZ,13:53,367826,3325,1876
王老菊教你对对碰兵团,1517484968,BV1HW411H7i6,35:36,230535,2970,1759
王老菊教你抵押良心,1517432831,BV15W411H7Wz,97:24,774149,14977,3770
王老菊教你拼图地牢,1516795594,BV1uW411e7Fj,45:06,539200,6881,1866
王老菊又来教你造桥：过完元旦来上班,1515174999,BV1vW411B7Gv,30:47,558570,7229,2345
王老菊又来教你造桥：光圈科技VS未来科技,1514392820,BV1QW411t72w,46:04,758317,9189,2238
王老菊教你摘苹果,1513684160,BV1GW41187T4,57:48,726688,11628,2499
免免教老菊环游大唐,1513593681,BV1AW41187zr,35:36,335982,8848,1888
老菊和免免教你谈恋爱,1513239714,BV1gW411a7FF,58:04,693231,10100,3122
【王老菊】这一百分钟全是失忆,1513074624,BV1CW411h7ow,105:08,678963,13799,2401
【王老菊】这一百分钟全是细节,1512420289,BV1nW411Y75v,106:17,1163037,17445,3621
王老菊教你当代理死神,1512240010,BV1cW411Y7aP,37:35,931533,6356,1716
王老菊教你骑驴打字,1511776475,BV1ex41157m1,49:51,483168,11578,1987
王老菊教你神仙打架,1510920519,BV14x411L7pb,36:38,530784,4132,1684
王老菊教你命运摸牌,1510425687,BV1Ex41177rv,44:38,595895,8139,2303
王老菊教你螺旋炼金,1509830871,BV1xx411j73K,39:49,758561,8519,2083
王老菊教你造缆车02：安全又高效,1509539431,BV1Yx411E7o6,38:26,589775,9584,1702
王老菊教你造缆车01：成熟的公司盈利之路,1508847655,BV1Mx411u7m2,33:05,919088,11074,2303
王老菊教你打猎03,1508530170,BV1rx411M7MP,51:21,1094226,20230,4002
王老菊教你秘境探险,1508323979,BV1nx411M7r1,59:04,438347,4540,1734
王老菊教你打猎02,1507382524,BV1Ax411G7rY,43:26,860391,18017,4487
王老菊教你打猎,1507123906,BV1hx41137E3,38:37,1544532,28099,4778
王老菊教你当太空佣兵,1506168786,BV1Wx411G7mE,37:16,606849,7165,2518
王老菊教你皮影进化,1506081614,BV1Gx411G7sv,38:28,371197,2437,1364
王老菊教你当键盘骑士,1505903926,BV1Gx411x7yx,32:30,672817,7131,1874
王老菊教你做菜,1505388633,BV14x411s7ss,32:03,524792,10542,2351
王老菊教你埃及探险,1505212212,BV1kx41147F8,47:05,1009401,10032,2262
王老菊教你跑路越狱02：牢里头跑了个年轻人,1504873828,BV1Px41147HS,41:05,1049151,9708,3212
王老菊教你跑路越狱01：牢里头来了个年轻人,1504628936,BV1Dx411x7KS,35:19,1536630,11331,3125
王老菊教你异次元世界如何生存,1504180859,BV1bx411t7CR,48:37,355130,4203,2248
王老菊教你纸上言商,1503958973,BV1gx411t7vY,50:28,615962,8395,2446
王老菊教你彩虹六号,1503414979,BV1Wx411b7ps,33:20,1191257,15667,4823
王老菊教你下三路剑法,1503331714,BV1px411b7gs,35:31,793064,16935,3394
王老菊的国王之路02：莽夫之底力,1502903784,BV1jx411J7pF,52:01,422450,7038,3120
王老菊教你跳火圈,1502045599,BV1ix411p7hX,39:05,814699,15479,4233
王老菊的国王之路01：这是一个神奇的桌面,1501805143,BV1Xx411H78P,67:26,776802,15221,2938
王老菊和散人的黏液之旅,1501282303,BV1nx411W7au,45:40,663588,10566,2291
【王老菊教你喜加一】第九期：射爆游戏,1501077245,BV1Kx411W7Et,38:30,704510,14507,3098
王老菊教你当王老炮,1500393647,BV1wx411i7PT,36:34,647159,9861,3923
王老菊的小小梦魇05| 学会了游泳,1500053514,BV1Nx411B7ZX,53:23,392650,13120,3196
王老菊教你创世战车,1499875228,BV1yx411q7Ao,40:58,905824,23408,3735
王老菊教你养殖猛男,1499174001,BV1fx411B7PX,46:57,974825,12127,3616
【王老菊】肉鸽之魂，专业传火侠！~15（FIN）,1498765989,BV1Nx411r7rj,76:49,839805,25818,4018
【王老菊】肉鸽之魂，兄弟之魂！~14,1498495521,BV18x41167Gq,65:59,888262,21886,4071
王老菊教你下海经商,1498193068,BV1Kx41167Gm,42:13,637360,7125,3020
【王老菊】肉鸽之魂，火中做猛男！~13,1498167282,BV1Nx411676P,60:07,687046,14920,2512
【王老菊】肉鸽之魂，梆硬mong男！~12,1498063450,BV1Xx411h7GU,65:23,856944,17525,3039
【王老菊】肉鸽之魂，不存在之物~11,1497885222,BV1xx411h7y2,36:52,800206,19181,3829
【王老菊】肉鸽之魂，神奇的天路~10,1497605396,BV1ux411h7hk,62:32,951625,18939,3721
